metric,group,value
traj_steps_mean,Pick,8.9201
traj_steps_median,Pick,6.0000
traj_steps_mean,Look,8.8159
traj_steps_median,Look,6.0000
traj_steps_mean,Clean,14.8103
traj_steps_median,Clean,11.0000
traj_steps_mean,Heat,16.3618
traj_steps_median,Heat,14.0000
traj_steps_mean,Cool,14.3210
traj_steps_median,Cool,12.0000
subgoal_count_mean,all,4.9856
subgoal_count_median,all,6.0000
scorer_steps,FindPick,17644
scorer_progress_steps,FindPick,535
scorer_no_progress_steps,FindPick,17109
scorer_steps,Clean,571
scorer_progress_steps,Clean,18
scorer_no_progress_steps,Clean,553
scorer_steps,Heat,1494
scorer_progress_steps,Heat,27
scorer_no_progress_steps,Heat,1467
scorer_steps,Cool,1822
scorer_progress_steps,Cool,25
scorer_no_progress_steps,Cool,1797
scorer_steps,Place,2882
scorer_progress_steps,Place,25
scorer_no_progress_steps,Place,2857
scorer_steps,Examine,23
scorer_progress_steps,Examine,1
scorer_no_progress_steps,Examine,22
